
2025/03/03 (08:55:52) | ===> btop++ v.1.4.0
2025/03/03 (08:55:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/03 (08:55:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (09:18:44) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (14:32:48) | ===> btop++ v.1.4.0
2025/03/03 (14:32:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/03 (14:32:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (14:32:59) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (14:34:30) | ===> btop++ v.1.4.0
2025/03/03 (14:34:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/03 (14:34:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (14:42:01) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (16:36:48) | ===> btop++ v.1.4.0
2025/03/03 (16:36:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/03 (16:36:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (16:36:54) | WARNING: Failed to join _runner thread on exit!

2025/03/04 (09:16:25) | ===> btop++ v.1.4.0
2025/03/04 (09:16:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (09:16:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/04 (09:40:30) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (09:06:07) | ===> btop++ v.1.4.0
2025/03/10 (09:06:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (09:06:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (09:06:22) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (13:53:13) | ===> btop++ v.1.4.0
2025/03/10 (13:53:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (13:53:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (13:55:36) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (17:02:06) | ===> btop++ v.1.4.0
2025/03/12 (17:02:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/12 (17:02:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/12 (17:02:08) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (17:02:12) | ===> btop++ v.1.4.0
2025/03/12 (17:02:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/12 (17:02:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/12 (17:02:35) | WARNING: Failed to join _runner thread on exit!

2025/03/14 (16:24:08) | ===> btop++ v.1.4.0
2025/03/14 (16:24:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/14 (16:24:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/14 (16:24:53) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (17:50:31) | ===> btop++ v.1.4.0
2025/03/21 (17:50:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (17:50:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (17:51:30) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (20:54:20) | ===> btop++ v.1.4.0
2025/03/21 (20:54:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (20:54:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (20:54:55) | WARNING: Failed to join _runner thread on exit!

2025/03/24 (08:24:44) | ===> btop++ v.1.4.0
2025/03/24 (08:24:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (08:24:44) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/24 (08:24:52) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (21:07:27) | ===> btop++ v.1.4.0
2025/03/25 (21:07:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (21:07:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (21:07:49) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (12:33:25) | ===> btop++ v.1.4.0
2025/03/26 (12:33:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (12:33:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (12:33:32) | WARNING: Failed to join _runner thread on exit!

2025/03/27 (18:31:12) | ===> btop++ v.1.4.0
2025/03/27 (18:31:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/27 (18:31:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/27 (18:32:18) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (08:49:00) | ===> btop++ v.1.4.0
2025/03/28 (08:49:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (08:49:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/28 (08:49:13) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (11:49:49) | ===> btop++ v.1.4.0
2025/04/07 (11:49:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/07 (11:49:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/07 (11:49:54) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (17:26:35) | ===> btop++ v.1.4.0
2025/04/07 (17:26:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/07 (17:26:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/07 (17:26:46) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (17:50:49) | ===> btop++ v.1.4.0
2025/04/07 (17:50:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/07 (17:50:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/07 (17:52:52) | WARNING: Failed to join _runner thread on exit!
